bucket	avg	p95
0	8.707	4.036
1	20.769	8.019
2	28.728	9.693
3	34.953	11.504
4	40.019	12.895
5	44.213	14.535
6	47.681	16.086
7	50.649	17.378
8	53.323	18.496
9	55.876	19.595
10	58.223	20.703
11	60.391	21.799
12	62.350	22.906
13	64.147	23.963
14	65.813	24.968
15	67.387	25.878
16	68.911	26.693
17	70.408	27.452
18	71.865	28.191
19	73.257	28.964
20	74.577	29.782
21	75.818	30.593
22	76.976	31.342
23	78.058	32.029
24	79.071	32.700
25	80.008	33.380
26	80.885	34.074
27	81.708	34.776
28	82.493	35.469
29	83.247	36.152
30	83.975	36.832
31	84.679	37.529
32	85.355	38.239
33	86.006	38.951
34	86.631	39.675
35	87.233	40.409
36	87.815	41.150
37	88.370	41.905
38	88.899	42.682
39	89.407	43.487
40	89.890	44.318
41	90.349	45.181
42	90.782	46.057
43	91.189	46.946
44	91.575	47.848
45	91.942	48.762
46	92.290	49.685
47	92.619	50.617
48	92.933	51.571
49	93.232	52.550
50	93.514	53.554
51	93.777	54.567
52	94.029	55.566
53	94.271	56.533
54	94.502	57.452
55	94.725	58.320
56	94.940	59.137
57	95.150	59.910
58	95.351	60.651
59	95.547	61.370
60	95.734	62.074
61	95.914	62.782
62	96.089	63.516
63	96.257	64.265
64	96.417	65.014
65	96.569	65.759
66	96.715	66.503
67	96.855	67.253
68	96.991	68.015
69	97.123	68.786
70	97.253	69.566
71	97.374	70.346
72	97.492	71.117
73	97.610	71.870
74	97.720	72.605
75	97.822	73.307
76	97.921	73.977
77	98.020	74.612
78	98.121	75.214
79	98.217	75.787
80	98.309	76.337
81	98.394	76.873
82	98.475	77.404
83	98.554	77.943
84	98.631	78.488
85	98.705	79.049
86	98.776	79.627
87	98.850	80.244
88	98.923	80.903
89	98.994	81.613
90	99.062	82.365
91	99.126	83.155
92	99.192	83.990
93	99.263	84.943
94	99.343	86.130
95	99.439	87.760
96	99.606	90.155
97	99.809	93.754
98	99.937	97.095
99	99.997	99.659
100	100.000	100.000bucket	avg	p95
0	8.707	4.036
1	20.769	8.019
2	28.728	9.693
3	34.953	11.504
4	40.019	12.895
5	44.213	14.535
6	47.681	16.086
7	50.649	17.378
8	53.323	18.496
9	55.876	19.595
10	58.223	20.703
11	60.391	21.799
12	62.350	22.906
13	64.147	23.963
14	65.813	24.968
15	67.387	25.878
16	68.911	26.693
17	70.408	27.452
18	71.865	28.191
19	73.257	28.964
20	74.577	29.782
21	75.818	30.593
22	76.976	31.342
23	78.058	32.029
24	79.071	32.700
25	80.008	33.380
26	80.885	34.074
27	81.708	34.776
28	82.493	35.469
29	83.247	36.152
30	83.975	36.832
31	84.679	37.529
32	85.355	38.239
33	86.006	38.951
34	86.631	39.675
35	87.233	40.409
36	87.815	41.150
37	88.370	41.905
38	88.899	42.682
39	89.407	43.487
40	89.890	44.318
41	90.349	45.181
42	90.782	46.057
43	91.189	46.946
44	91.575	47.848
45	91.942	48.762
46	92.290	49.685
47	92.619	50.617
48	92.933	51.571
49	93.232	52.550
50	93.514	53.554
51	93.777	54.567
52	94.029	55.566
53	94.271	56.533
54	94.502	57.452
55	94.725	58.320
56	94.940	59.137
57	95.150	59.910
58	95.351	60.651
59	95.547	61.370
60	95.734	62.074
61	95.914	62.782
62	96.089	63.516
63	96.257	64.265
64	96.417	65.014
65	96.569	65.759
66	96.715	66.503
67	96.855	67.253
68	96.991	68.015
69	97.123	68.786
70	97.253	69.566
71	97.374	70.346
72	97.492	71.117
73	97.610	71.870
74	97.720	72.605
75	97.822	73.307
76	97.921	73.977
77	98.020	74.612
78	98.121	75.214
79	98.217	75.787
80	98.309	76.337
81	98.394	76.873
82	98.475	77.404
83	98.554	77.943
84	98.631	78.488
85	98.705	79.049
86	98.776	79.627
87	98.850	80.244
88	98.923	80.903
89	98.994	81.613
90	99.062	82.365
91	99.126	83.155
92	99.192	83.990
93	99.263	84.943
94	99.343	86.130
95	99.439	87.760
96	99.606	90.155
97	99.809	93.754
98	99.937	97.095
99	99.997	99.659
100	100.000	100.000
