bucket	value
1	47.021
2	62.791
3	70.529
4	75.673
5	79.052
6	81.796
7	83.488
8	85.161
9	86.553
10	87.884
11	88.710
12	89.559
13	90.157
14	90.756
15	91.304
16	91.823
17	92.231
18	92.675
19	93.006
20	93.439
21	93.724
22	94.018
23	94.253
24	94.518
25	94.731
26	94.933
27	95.105
28	95.277
29	95.425
30	95.613
31	95.745
32	95.880
33	96.005
34	96.118
35	96.230
36	96.344
37	96.437
38	96.533
39	96.608
40	96.714
41	96.790
42	96.866
43	96.928
44	96.996
45	97.064
46	97.123
47	97.176
48	97.235
49	97.290
50	97.378bucket	value
1	0.000
2	0.000
3	0.000
4	0.000
5	0.000
6	0.000
7	0.000
8	0.000
9	0.000
10	0.000
11	0.000
12	0.000
13	0.000
14	0.000
15	0.000
16	0.000
17	0.000
18	0.000
19	0.000
20	0.000
21	0.000
22	0.000
23	0.000
24	0.000
25	0.000
26	0.000
27	0.000
28	0.000
29	0.000
30	0.000
31	0.000
32	0.000
33	0.000
34	0.000
35	0.000
36	0.000
37	0.000
38	0.000
39	0.000
40	0.000
41	0.000
42	0.000
43	0.000
44	0.000
45	0.000
46	0.000
47	0.000
48	0.000
49	0.000
50	0.000
