bucket	value
0.1	 20.9 
0.2	 31.1 
0.3	 44.1 
0.4	 48.4 
0.5	 51.8 
0.6	 54.7 
0.7	 57.0 
0.8	 60.5 
0.9	 62.1 
1	 63.6 
1.1	 64.8 
1.2	 65.9 
1.3	 67.6 
1.4	 68.3 
1.5	 68.9 
1.6	 69.5 
1.7	 70.0 
1.8	 70.9 
1.9	 71.3 
2	 71.7 
2.1	 72.1 
2.2	 72.5 
2.3	 73.2 
2.4	 73.6 
2.5	 73.9 
2.6	 74.2 
2.7	 74.5 
2.8	 75.0 
2.9	 75.3 
3	 75.5 
3.1	 75.7 
3.2	 75.9 
3.3	 76.3 
3.4	 76.5 
3.5	 76.6 
3.6	 76.8 
3.7	 76.9 
3.8	 77.3 
3.9	 77.4 
4	 77.6 
4.1	 77.8 
4.2	 77.9 
4.3	 78.2 
4.4	 78.3 
4.5	 78.4 
4.6	 78.5 
4.7	 78.6 
4.8	 78.9 
4.9	 79.0 
5	 79.1 
5.1	 79.2 
5.2	 79.3 
5.3	 79.5 
5.4	 79.5 
5.5	 79.6 
5.6	 79.7 
5.7	 79.8 
5.8	 80.0 
5.9	 80.1 
6	 80.2 
6.1	 80.3 
6.2	 80.4 
6.3	 80.6 
6.4	 80.6 
6.5	 80.7 
6.6	 80.8 
6.7	 80.8 
6.8	 81.0 
6.9	 81.1 
7	 81.1 
7.1	 81.2 
7.2	 81.3 
7.3	 81.4 
7.4	 81.4 
7.5	 81.5 
7.6	 81.6 
7.7	 81.6 
7.8	 81.7 
7.9	 81.8 
8	 81.9 
8.1	 81.9 
8.2	 82.0 
8.3	 82.1 
8.4	 82.2 
8.5	 82.2 
8.6	 82.3 
8.7	 82.3 
8.8	 82.4 
8.9	 82.5 
9	 82.6 
9.1	 82.6 
9.2	 82.7 
9.3	 82.8 
9.4	 82.9 
9.5	 82.9 
9.6	 83.0 
9.7	 83.0 
9.8	 83.2 
9.9	 83.3 
10	 83.3 
10.1	 83.4 
10.2	 83.5 
10.3	 83.6 
10.4	 83.6 
10.5	 83.7 
10.6	 83.7 
10.7	 83.8 
10.8	 83.9 
10.9	 84.0 
11	 84.1 
11.1	 84.1 
11.2	 84.2 
11.3	 84.3 
11.4	 84.3 
11.5	 84.4 
11.6	 84.4 
11.7	 84.5 
11.8	 84.7 
11.9	 84.8 
12	 84.9 
12.1	 85.0 
12.2	 85.0 
12.3	 85.1 
12.4	 85.2 
12.5	 85.2 
12.6	 85.3 
12.7	 85.3 
12.8	 85.5 
12.9	 85.6 
13	 85.6 
13.1	 85.7 
13.2	 85.7 
13.3	 85.8 
13.4	 85.9 
13.5	 85.9 
13.6	 85.9 
13.7	 86.0 
13.8	 86.1 
13.9	 86.2 
14	 86.2 
14.1	 86.3 
14.2	 86.3 
14.3	 86.4 
14.4	 86.4 
14.5	 86.4 
14.6	 86.5 
14.7	 86.5 
14.8	 86.6 
14.9	 86.7 
15	 86.7 
15.1	 86.8 
15.2	 86.8 
15.3	 86.8 
15.4	 86.9 
15.5	 86.9 
15.6	 86.9 
15.7	 87.0 
15.8	 87.0 
15.9	 87.1 
16	 87.2 
16.1	 87.2 
16.2	 87.2 
16.3	 87.3 
16.4	 87.3 
16.5	 87.3 
16.6	 87.3 
16.7	 87.4 
16.8	 87.4 
16.9	 87.5 
17	 87.6 
17.1	 87.6 
17.2	 87.6 
17.3	 87.7 
17.4	 87.7 
17.5	 87.7 
17.6	 87.7 
17.7	 87.7 
17.8	 87.8 
17.9	 87.9 
18	 87.9 
18.1	 87.9 
18.2	 87.9 
18.3	 88.0 
18.4	 88.0 
18.5	 88.0 
18.6	 88.0 
18.7	 88.1 
18.8	 88.1 
18.9	 88.1 
19	 88.2 
19.1	 88.2 
19.2	 88.2 
19.3	 88.2 
19.4	 88.3 
19.5	 88.3 
19.6	 88.3 
19.7	 88.3 
19.8	 88.3 
19.9	 88.4 
20	 88.4 
20.1	 88.4 
20.2	 88.4 
20.3	 88.4 
20.4	 88.4 
20.5	 88.5 
20.6	 88.5 
20.7	 88.5 
20.8	 88.5 
20.9	 88.5 
21	 88.5 
21.1	 88.6 
21.2	 88.6 
21.3	 88.6 
21.4	 88.6 
21.5	 88.6 
21.6	 88.6 
21.7	 88.6 
21.8	 88.7 
21.9	 88.7 
22	 88.7 
22.1	 88.7 
22.2	 88.7 
22.3	 88.7 
22.4	 88.8 
22.5	 88.8 
22.6	 88.8 
22.7	 88.8 
22.8	 88.8 
22.9	 88.8 
23	 88.8 
23.1	 88.9 
23.2	 88.9 
23.3	 88.9 
23.4	 88.9 
23.5	 88.9 
23.6	 88.9 
23.7	 89.0 
23.8	 89.1 
23.9	 89.1 
24	 89.1 
24.1	 89.1 
24.2	 89.2 
24.3	 89.2 
24.4	 89.2 
24.5	 89.2 
24.6	 89.2 
24.7	 89.3 
24.8	 89.3 
24.9	 89.3 
25	 89.3 
25.1	 89.3 
25.2	 89.3 
25.3	 89.3 
25.4	 89.4 
25.5	 89.4 
25.6	 89.4 
25.7	 89.4 
25.8	 89.4 
25.9	 89.4 
26	 89.4 
26.1	 89.4 
26.2	 89.4 
26.3	 89.4 
26.4	 89.5 
26.5	 89.5 
26.6	 89.5 
26.7	 89.5 
26.8	 89.5 
26.9	 89.5 
27	 89.5 
27.1	 89.5 
27.2	 89.5 
27.3	 89.5 
27.4	 89.5 
27.5	 89.6 
27.6	 89.6 
27.7	 89.6 
27.8	 89.6 
27.9	 89.6 
28	 89.6 
28.1	 89.6 
28.2	 89.6 
28.3	 89.6 
28.4	 89.7 
28.5	 89.7 
28.6	 89.7 
28.7	 89.7 
28.8	 89.7 
28.9	 89.7 
29	 89.7 
29.1	 89.7 
29.2	 89.7 
29.3	 89.7 
29.4	 89.7 
29.5	 89.7 
29.6	 89.7 
29.7	 89.8 
29.8	 89.8 
29.9	 89.8 
30	 89.8 
30.1	 89.8 
30.2	 89.8 
30.3	 89.8 
30.4	 89.8 
30.5	 89.8 
30.6	 89.8 
30.7	 89.8 
30.8	 89.8 
30.9	 89.8 
31	 89.9 
31.1	 89.9 
31.2	 89.9 
31.3	 89.9 
31.4	 89.9 
31.5	 89.9 
31.6	 89.9 
31.7	 89.9 
