filepattern,field_number,content,format
vm_virtual_core_bucket_definition.csv,1,bucket,STRING
vm_virtual_core_bucket_definition.csv,2,definition,STRING
vm_memory_bucket_definition.csv,1,bucket,STRING
vm_memory_bucket_definition.csv,2,definition,STRING
subscriptions/subscriptions.csv.gz,1,subscription id,STRING_HASH
subscriptions/subscriptions.csv.gz,2,timestamp first vm created,INTEGER
subscriptions/subscriptions.csv.gz,3,count vms created,INTEGER
deployment/deployment.csv.gz,1,deployment id,STRING_HASH
deployment/deployment.csv.gz,2,deployment size,INTEGER
vmtable/vmtable.csv.gz,1,vm id,STRING_HASH
vmtable/vmtable.csv.gz,2,subscription id,STRING_HASH
vmtable/vmtable.csv.gz,3,deployment id,STRING_HASH
vmtable/vmtable.csv.gz,4,timestamp vm created,INTEGER
vmtable/vmtable.csv.gz,5,timestamp vm deleted,INTEGER
vmtable/vmtable.csv.gz,6,max cpu,DOUBLE
vmtable/vmtable.csv.gz,7,avg cpu,DOUBLE
vmtable/vmtable.csv.gz,8,p95 max cpu,DOUBLE
vmtable/vmtable.csv.gz,9,vm category,STRING
vmtable/vmtable.csv.gz,10,vm virtual core count bucket,STRING
vmtable/vmtable.csv.gz,11,vm memory (gb) bucket,STTRING
vm_cpu_readings/vm_cpu_readings-file-*-of-195.csv.gz,1,timestamp,INTEGER
vm_cpu_readings/vm_cpu_readings-file-*-of-195.csv.gz,2,vm id,STRING_HASH
vm_cpu_readings/vm_cpu_readings-file-*-of-195.csv.gz,3,min cpu,DOUBLE
vm_cpu_readings/vm_cpu_readings-file-*-of-195.csv.gz,4,max cpu,DOUBLE
vm_cpu_readings/vm_cpu_readings-file-*-of-195.csv.gz,5,avg cpu,DOUBLETable,Column,Type,Description
vmtable,vmid,string,Anonymized VM identifier
vmtable,subscriptionid,string,Anonymized subscription identifier
vmtable,deploymentid,string,Anonymized deployment identifier
vmtable,vmcreated,int,VM creation time (seconds since trace start)
vmtable,vmdeleted,int,VM deletion time (seconds since trace start)
vmtable,maxcpu,float,Maximum CPU utilization (%)
vmtable,avgcpu,float,Average CPU utilization (%)
vmtable,p95maxcpu,float,95th percentile of maximum CPU utilization (%)
vmtable,vmcategory,string,VM workload category
vmtable,vmcorecountbucket,string,VM core count bucket
vmtable,vmmemorybucket,string,VM memory size bucket
vmtable,lifetime,float,VM lifetime (hours)
vmtable,corehour,float,VM core hours
deployments,deploymentid,string,Anonymized deployment identifier
deployments,deploymentsize,int,Number of VMs in deployment
subscriptions,subscriptionid,string,Anonymized subscription identifier
subscriptions,subscriptiontype,string,Subscription type
vm_cpu_readings,reading_ts,int,Timestamp (seconds since deployment start)
vm_cpu_readings,vm_id,string,Anonymized VM identifier
vm_cpu_readings,min_cpu_5min,float,Minimum CPU utilization in 5-min interval (%)
vm_cpu_readings,max_cpu_5min,float,Maximum CPU utilization in 5-min interval (%)
vm_cpu_readings,avg_cpu_5min,float,Average CPU utilization in 5-min interval (%)
